Total Monthly Consumption Oct. 2020,Total Monthly Consumption Jan. 2021,Control Group,First Moment Treatment,Second Moment Europe Treatment,First & Second Moment Treatment,Second Moment Domestic Treatment,Europe Mean Growth Expectation Prior,Europe Uncertainty in Growth Expectation Prior,Log Net Household Income Sep. 2020,Belgian,Danish,Spanish,French,Italian,Dutch,Household Size,Male,High-School Educated,Post-Secondary Educated,Age,Sufficient Liquidity,LiquidAssets
485,310,0,0,0,1,0,0.4422612494862488,-0.102238396,-0.490044612,1,0,0,0,0,0,1,0,1,0,-0.133181566,1,0.228775442
2300,1600,0,0,1,0,0,-3.025081819,-0.305181908,-1.866289268,1,0,0,0,0,0,6,1,0,1,-0.206815285,1,0.3209078
3415,2224,0,0,1,0,0,-1.347335173,1.724253209037412,0.4786800207917134,1,0,0,0,0,0,3,1,0,1,-1.164053621,0,0.31616765
688,692,1,0,0,0,0,-0.061062744,3.0433860598989404,-0.135001696,1,0,0,0,0,0,5,0,0,0,0.7504230514934759,0,1
4029,3610,0,1,0,0,0,-0.620311626,-0.000766665,1.0011859066024529,1,0,0,0,0,0,2,1,0,1,0.8976904878064914,1,0.48719825
1495,1770,1,0,0,0,0,-0.732161403,-0.203710127,0.2123378436236521,1,0,0,0,0,0,1,0,0,1,-0.722251312,1,0.7096802
1551,2940,0,0,1,0,0,-0.396612074,1.4198380160637427,-0.071350692,1,0,0,0,0,0,1,0,0,1,1.339492796745538,1,0.99999999
980,800,0,1,0,0,0,0.8896603551267249,-0.102238396,0.744909726,1,0,0,0,0,0,5,0,0,1,-0.869518748,0,1
3977,1252,0,1,0,0,0,-0.005137856,-0.711068901,0.2467575968007864,1,0,0,0,0,0,2,1,0,1,1.2658590785890305,1,1
1630,1560,0,0,0,1,0,-0.284762297,-0.406653639,0.744909726,1,0,0,0,0,0,3,0,1,0,-0.943152466,1,0.836246
2397,2420,1,0,0,0,0,-0.228837409,-0.50812542,0.6673972726297179,1,0,0,0,0,0,2,1,0,1,-1.016786184,1,1
2150,2300,0,0,0,1,0,-0.899936067,0.5065921388779114,0.5824919860067227,1,0,0,0,0,0,4,1,1,0,-0.79588503,1,1
200,820,0,0,1,0,0,-0.50846185,-0.203710127,-0.490044612,1,0,0,0,0,0,1,0,1,0,1.339492796745538,0,1
1800,2700,1,0,0,0,0,0.050787032,-0.609597151,-0.034985183,1,0,0,0,0,0,2,1,1,0,2.149463696467124,1,1.000000012
1125,1320,0,0,0,1,0,0.050787032,-0.812540662,0.744909726,1,0,0,0,0,0,3,0,0,1,0.1613533062414135,1,1
2240,2280,1,0,0,0,0,0.6659608023064869,-0.305181908,0.5461264775963887,1,0,0,0,0,0,3,1,0,1,1.707661387528077,1,0.8320525409999999
2040,1780,1,0,0,0,0,-2.298058273,1.0139509429664386,0.8432112240815084,1,0,0,0,0,0,3,1,0,1,-0.79588503,1,1
4795,1895,1,0,0,0,0,1.001510131536844,-0.305181908,-0.490044612,1,0,0,0,0,0,1,1,1,0,1.1922253604325226,1,0.933954205
3220,2075,1,0,0,0,0,-0.005137856,-0.914012418,1.1999691553729712,1,0,0,0,0,0,6,0,0,1,-0.206815285,1,0.557508677
1326,1326,1,0,0,0,0,0.2185616966660107,0.7095356008603575,-0.460834413,1,0,0,0,0,0,1,0,0,1,1.1922253604325226,0,0.098477155
740,810,1,0,0,0,0,0.1626368084609512,-0.406653639,-0.490044612,1,0,0,0,0,0,1,0,0,1,0.8240567696499836,1,1
704,400,1,0,0,0,0,0.1067119202558917,-0.914012418,0.3837087372362044,1,0,0,0,0,0,3,1,0,1,0.3822544607109369,1,0.35053171
1196,1145,1,0,0,0,0,0.1626368084609512,3.246329919567817,0.097231995,1,0,0,0,0,0,2,0,0,0,0.3822544607109369,1,0.6213398
2491,2165,0,0,1,0,0,0.9455852433317844,0.4051203581758842,0.065971551,1,0,0,0,0,0,2,0,0,0,0.4558881788674447,1,1
2226,1256,0,0,0,1,0,-0.172912521,-0.609597151,-1.66750602,1,0,0,0,0,0,5,0,1,0,-0.133181566,1,0.214014622
3285,2755,0,0,1,0,0,-0.061062744,-0.000766665,-5.408734544,1,0,0,0,0,0,4,0,0,1,-0.869518748,1,1
1610,1720,0,0,1,0,0,-1.738809391,-0.000766665,0.2898502973608427,1,0,0,0,0,0,3,1,0,1,0.5295218970239525,0,0.516546306
1076,1515,0,1,0,0,0,-0.284762297,0.2021768961934379,0.2028937389947866,1,0,0,0,0,0,1,1,0,0,0.6031556151804603,1,0.99574791
1720,916,0,0,0,1,0,-3.416556037,-0.000766665,-1.9237822,1,0,0,0,0,0,3,1,0,1,0.7504230514934759,1,0.495792848
501150,650,0,1,0,0,0,-0.50846185,-0.406653639,0.1274325570006584,1,0,0,0,0,0,2,1,0,0,1.1185916422760147,1,0.6526586
1320,1575,0,0,0,1,0,-0.620311626,2.0286685014326897,0.1274325570006584,1,0,0,0,0,0,3,0,0,1,1.4867602330585536,1,1
3164,2380,0,0,0,1,0,-0.50846185,0.2021768961934379,0.6105519829599209,1,0,0,0,0,0,4,0,1,0,-0.574983875,0,0.035512794
1200,1558,1,0,0,0,0,-0.452536962,1.1154227733792694,0.2647547998159933,1,0,0,0,0,0,2,1,1,0,1.1922253604325226,1,1
3000,1650,0,0,0,1,0,0.1626368084609512,-0.609597151,0.065971551,1,0,0,0,0,0,2,1,0,0,1.044957924119507,1,0.6133343
1655,1510,0,1,0,0,0,-0.899936067,0.5065921388779114,0.2647547998159933,1,0,0,0,0,0,2,1,1,0,-0.206815285,1,0.126291943
2110,2470,0,0,0,1,0,-0.732161403,0.2021768961934379,-1.786459957,1,0,0,0,0,0,3,0,0,1,-0.648617593,1,0.9262614
672,990,0,0,1,0,0,-1.459184949,-0.50812542,0.049920103,1,0,0,0,0,0,3,0,0,1,0.6031556151804603,1,1
1700,1720,0,0,1,0,0,0.1067119202558917,-0.711068901,0.2898502973608427,1,0,0,0,0,0,2,1,0,1,0.8976904878064914,1,1
2410,2255,0,0,1,0,0,-0.955860956,-0.812540662,0.2123378436236521,1,0,0,0,0,0,1,0,1,0,1.044957924119507,1,0.707610822
2130,1900,0,0,1,0,0,1.113359907946963,-0.102238396,0.849834535,1,0,0,0,0,0,2,0,0,1,0.5295218970239525,1,0.61316375
1839,1255,0,0,1,0,0,-0.396612074,0.2021768961934379,2.5973412344656523,1,0,0,0,0,0,2,0,0,1,1.4867602330585536,1,0.745809573
1150,1101,0,0,1,0,0,0.050787032,-0.812540662,-2.920457561,1,0,0,0,0,0,1,0,1,0,0.7504230514934759,0,0.058907926
1485,1207,0,0,1,0,0,-0.116987633,-0.50812542,-1.786459957,1,0,0,0,0,0,1,0,0,1,-1.164053621,1,0.91233927
3695,2608,0,0,0,1,0,-0.899936067,-0.914012418,0.5824919860067227,1,0,0,0,0,0,2,1,0,1,0.6031556151804603,1,0.889748616
965,490,0,1,0,0,0,-0.172912521,-0.406653639,0.1274325570006584,1,0,0,0,0,0,3,1,0,1,-0.648617593,1,0.3948972
2500,2250,0,0,0,1,0,-2.633607602,0.6080639195799383,1.0011859066024529,1,0,0,0,0,0,4,1,0,1,0.01408587,1,0.9153636
3050,3750,0,0,0,1,0,0.2185616966660107,-0.50812542,0.6673972726297179,1,0,0,0,0,0,4,1,1,0,-0.427716439,1,0.606554664
1690,1450,0,0,0,1,0,-0.955860956,-0.203710127,0.1274325570006584,1,0,0,0,0,0,3,0,0,1,-1.311321057,1,0.7306216
1593,2353,0,0,1,0,0,-0.172912521,-0.000766665,0.007459945,1,0,0,0,0,0,2,1,0,1,1.339492796745538,1,0.630195336
1890,1450,0,0,1,0,0,0.777810579,-0.102238396,0.6673972726297179,1,0,0,0,0,0,4,1,0,1,-0.206815285,1,1
1820,1655,1,0,0,0,0,-0.899936067,0.5065921388779114,-0.034985183,1,0,0,0,0,0,1,0,0,1,-0.133181566,1,1
1485,1485,0,1,0,0,0,0.2185616966660107,2.5360273055212166,0.1274325570006584,1,0,0,0,0,0,1,0,0,1,1.707661387528077,1,1
2000,1590,0,1,0,0,0,0.2744865848710703,-0.812540662,0.4271725401761777,1,0,0,0,0,0,3,1,0,0,0.3822544607109369,1,0.13558465
1450,1600,0,1,0,0,0,0.3304114730761298,-0.711068901,0.2898502973608427,1,0,0,0,0,0,2,1,0,1,1.5603939512150615,1,1
1230,1350,0,1,0,0,0,-0.061062744,-0.609597151,-0.432551681,1,0,0,0,0,0,1,1,1,0,1.1922253604325226,1,1
2374,980,0,1,0,0,0,-0.116987633,-0.102238396,-1.9237822,1,0,0,0,0,0,1,0,0,1,-0.059547848,1,0.781353427
2105,2173,1,0,0,0,0,-0.340687185,-0.711068901,0.4886335461313594,1,0,0,0,0,0,3,1,1,0,0.3086207425544292,1,1
1236,1214,0,0,1,0,0,-0.620311626,0.4051203581758842,-0.327626872,1,0,0,0,0,0,1,1,0,1,0.087719588,0,1
2670,1460,0,0,0,1,0,2.120007895638034,0.3036485774738572,1.3623868957331555,1,0,0,0,0,0,2,1,0,1,-0.280449003,1,0.801233345
1822,1848,0,1,0,0,0,-0.396612074,-0.609597151,0.2647547998159933,1,0,0,0,0,0,3,1,1,0,-1.090419902,1,1
1070,1295,1,0,0,0,0,-0.284762297,-0.406653639,0.3380150676748448,1,0,0,0,0,0,2,1,0,1,1.2658590785890305,1,0.55571446
2210,2650,0,0,1,0,0,0.2185616966660107,0.5065921388779114,0.5824919860067227,1,0,0,0,0,0,4,1,0,0,-2.047658238,1,1
2790,3100,0,0,0,1,0,0.1067119202558917,-0.305181908,-1.9237822,1,0,0,0,0,0,3,1,0,1,-1.458588493,1,0.75297212
1804,1870,1,0,0,0,0,-1.347335173,-0.102238396,0.4886335461313594,1,0,0,0,0,0,5,0,0,1,-1.826757084,1,1
3950,2600,0,0,0,1,0,-5.4857769,-0.914012418,-2.527703621,1,0,0,0,0,0,3,1,0,0,0.3822544607109369,0,1
1708,1537,1,0,0,0,0,-0.50846185,-0.000766665,0.2389317929002005,1,0,0,0,0,0,1,0,1,0,-0.354082721,1,0.47673497
1290,920,0,1,0,0,0,-2.745457378,3.855160007250333,-0.551505618,1,0,0,0,0,0,3,0,0,1,0.8240567696499836,1,0.5187933
1250,1020,0,0,1,0,0,0.2744865848710703,0.6080639195799383,0.1274325570006584,1,0,0,0,0,0,3,0,0,1,-0.79588503,0,1
905,4635,1,0,0,0,0,-0.116987633,-0.711068901,-2.051260903,1,0,0,0,0,0,1,1,1,0,1.4867602330585536,1,1
4600,2360,1,0,0,0,0,1.113359907946963,-0.711068901,0.9436929751374252,1,0,0,0,0,0,4,1,1,0,-0.354082721,1,1
1240,1168,0,1,0,0,0,-2.07435872,0.4051203581758842,-0.327626872,1,0,0,0,0,0,2,0,1,0,-1.826757084,0,1
1092,1500,0,0,1,0,0,-0.955860956,0.4051203581758842,-3.519937528,1,0,0,0,0,0,1,1,1,0,-0.427716439,0,1
1800,1290,1,0,0,0,0,-2.745457378,4.2610467323720105,0.8822319691822419,1,0,0,0,0,0,3,0,0,1,0.2349870243979213,1,1
3200,3850,1,0,0,0,0,0.3304114730761298,-0.711068901,1.1999691553729712,1,0,0,0,0,0,3,1,0,1,0.1613533062414135,1,0.78738277
1273,1340,0,0,1,0,0,-0.899936067,4.768405884436165,-2.241519386,1,0,0,0,0,0,4,0,1,0,-1.016786184,1,1
2525,2030,0,0,1,0,0,0.8337354669216654,-0.609597151,0.4886335461313594,1,0,0,0,0,0,2,1,1,0,-0.059547848,1,0.9588408
4757,2250,0,1,0,0,0,0.777810579,-0.50812542,0.3837087372362044,1,0,0,0,0,0,2,1,0,1,1.1922253604325226,1,0.69151468
1740,1740,0,0,1,0,0,1.0574350197419036,-0.000766665,-0.071350692,1,0,0,0,0,0,2,1,0,1,0.1613533062414135,1,1
741,679,0,0,0,1,0,0.7218856905115464,-0.000766665,-0.490044612,1,0,0,0,0,0,1,1,0,0,-0.427716439,0,1
975,1425,0,1,0,0,0,1.3929843489722606,-0.812540662,-0.602439092,1,0,0,0,0,0,3,0,0,1,-1.60585593,0,1
2277,1420,0,1,0,0,0,1.113359907946963,-0.914012418,-0.071350692,1,0,0,0,0,0,2,0,0,1,-0.574983875,0,1
1200,1000,0,0,0,1,0,1.6166839017924988,-0.000766665,-1.66750602,1,0,0,0,0,0,2,0,0,1,1.707661387528077,1,1
1090,1130,0,0,0,1,0,-0.116987633,-0.711068901,1.106110715497608,1,0,0,0,0,0,3,0,0,1,-1.753123366,1,0.90728897
1960,860,0,0,1,0,0,-0.340687185,-0.50812542,0.2647547998159933,1,0,0,0,0,0,1,1,0,1,1.5603939512150615,1,0.99999995
1320,1160,0,0,0,1,0,0.3304114730761298,2.9419142294861094,-0.688827861,1,0,0,0,0,0,4,0,0,1,-0.427716439,0,1
2000,1420,0,1,0,0,0,0.6100359141014274,-0.203710127,-4.61E-05,1,0,0,0,0,0,2,1,1,0,1.4867602330585536,1,1.000000042
700,2289,1,0,0,0,0,-0.50846185,0.4051203581758842,0.2389317929002005,1,0,0,0,0,0,2,1,1,0,1.5603939512150615,1,0.716523977
537,1450,1,0,0,0,0,-1.067710732,1.6227813289137776,-4.61E-05,1,0,0,0,0,0,2,1,0,1,1.2658590785890305,1,0.54992604
1550,1452,0,0,0,1,0,-0.284762297,-0.000766665,0.744909726,1,0,0,0,0,0,2,1,0,1,-0.206815285,1,0.699735607
1900,2166,0,1,0,0,0,-1.291410285,1.6227813289137776,0.5824741692035518,1,0,0,0,0,0,4,0,0,1,-0.206815285,1,0.50392425
1560,2148,0,0,0,1,0,0.050787032,-0.812540662,0.2647547998159933,1,0,0,0,0,0,2,1,1,0,1.5603939512150615,1,1
4400,4400,0,0,0,1,0,-0.564386738,2.5360273055212166,0.8822319691822419,1,0,0,0,0,0,2,0,0,1,0.8976904878064914,1,0.68300648
1510,942,0,0,0,1,0,-2.018433832,3.5507449634090755,0.4481342384344786,1,0,0,0,0,0,2,1,0,1,0.4558881788674447,1,1
645,790,0,1,0,0,0,-0.228837409,-0.305181908,-0.807781799,1,0,0,0,0,0,1,1,1,0,-0.501350157,1,0.94512838
885,1461,0,1,0,0,0,-0.620311626,2.0286685014326897,-2.01764064,1,0,0,0,0,0,2,0,0,0,1.4867602330585536,1,1
922,929,1,0,0,0,0,-0.005137856,0.9124791622644116,-0.490044612,1,0,0,0,0,0,1,0,0,0,1.044957924119507,1,0.8796484
1205,1267,0,0,0,1,0,0.8337354669216654,-0.609597151,-0.617523316,1,0,0,0,0,0,1,0,1,0,1.2658590785890305,1,1
1700,1800,0,0,0,1,0,-1.738809391,1.0139509429664386,-0.034985183,1,0,0,0,0,0,2,1,0,1,-1.311321057,0,1
551,675,0,0,1,0,0,1.001510131536844,-0.102238396,-0.88761111,1,0,0,0,0,0,1,1,0,0,0.3086207425544292,1,0.473426428
550,395,0,0,1,0,0,1.8963083428177965,-0.50812542,-0.233768432,1,0,0,0,0,0,2,1,0,1,1.1185916422760147,1,1
1670,1370,0,0,0,1,0,-0.452536962,0.3036485774738572,0.5824919860067227,1,0,0,0,0,0,2,1,0,1,-1.384954775,1,1
1150,1161,0,1,0,0,0,0.1067119202558917,-0.711068901,-0.327626872,1,0,0,0,0,0,3,0,1,0,-0.722251312,1,1
910,1075,0,1,0,0,0,0.1067119202558917,-0.914012418,-2.483766438,1,0,0,0,0,0,1,1,1,0,0.6031556151804603,0,0.06037119
2950,985,0,0,0,1,0,-0.340687185,0.5065921388779114,0.5824919860067227,1,0,0,0,0,0,2,1,0,1,1.413126514902046,1,1
2850,1650,0,0,0,1,0,-2.465832937,-0.711068901,0.3837087372362044,1,0,0,0,0,0,3,1,0,1,0.4558881788674447,0,0.36209873
5726,5140,0,0,1,0,0,-0.620311626,0.8110073815623846,0.7147091647070981,1,0,0,0,0,0,5,0,0,1,0.4558881788674447,1,1
3855,3650,0,0,0,1,0,-1.12363562,0.7095356008603575,0.8822319691822419,1,0,0,0,0,0,4,1,0,0,0.3822544607109369,1,1
900,985,0,1,0,0,0,0.6659608023064869,-0.102238396,-0.688827861,1,0,0,0,0,0,1,1,0,1,0.087719588,1,1
2110,1890,0,1,0,0,0,0.4422612494862488,-0.50812542,0.5824919860067227,1,0,0,0,0,0,3,1,0,1,-0.280449003,1,0.93137575
1620,1600,0,1,0,0,0,0.6100359141014274,-0.812540662,-2.378841629,1,0,0,0,0,0,3,1,1,0,-0.059547848,1,0.20063084
1410,1590,0,0,0,1,0,-1.459184949,1.521309647633358,0.2389317929002005,1,0,0,0,0,0,2,0,0,0,1.044957924119507,1,0.59636873
1032,1040,0,0,1,0,0,-0.116987633,1.521309647633358,-0.617523316,1,0,0,0,0,0,1,0,0,1,0.7504230514934759,0,1
740,0,0,1,0,0,0,-0.116987633,-0.711068901,0.097231995,1,0,0,0,0,0,1,1,1,0,-1.532222211,1,1
1700,1681,0,0,0,1,0,-0.061062744,-0.000766665,0.1274325570006584,1,0,0,0,0,0,2,1,0,1,-1.753123366,1,0.975619486
1550,1830,0,0,0,1,0,-0.396612074,0.4051203581758842,-1.985243206,1,0,0,0,0,0,2,0,0,1,1.1185916422760147,1,0.92508649
1530,2130,0,0,1,0,0,-1.459184949,-0.50812542,0.3837087372362044,1,0,0,0,0,0,2,1,0,1,1.9285625419976005,1,0.940951333
2090,2600,1,0,0,0,0,-0.50846185,-0.812540662,0.744909726,1,0,0,0,0,0,2,1,0,1,1.1922253604325226,1,0.6326814
100,750,0,1,0,0,0,-0.620311626,-0.000766665,0.6208507248317349,1,0,0,0,0,0,2,1,0,1,1.6340276693715694,1,1
320,345,1,0,0,0,0,-2.298058273,3.652216147581456,-0.279462102,1,0,0,0,0,0,2,0,1,0,1.9285625419976005,1,1
1275,1376,1,0,0,0,0,0.050787032,-0.203710127,-0.034985183,1,0,0,0,0,0,2,0,0,1,-0.574983875,1,0.22333644
2770,1900,0,0,1,0,0,0.777810579,-0.50812542,0.5824919860067227,1,0,0,0,0,0,2,0,0,0,1.339492796745538,1,0.6287836
15850,4300,0,0,0,1,0,-0.788086291,1.3183659868076962,1.3623868957331555,1,0,0,0,0,0,2,1,0,0,1.1185916422760147,1,0.017793885
1745,1745,0,0,0,1,0,-0.50846185,0.2021768961934379,0.3837087372362044,1,0,0,0,0,0,3,0,0,1,0.2349870243979213,1,1.00000002
4065,5390,1,0,0,0,0,0.1067119202558917,-0.914012418,1.0011859066024529,1,0,0,0,0,0,2,1,1,0,-0.427716439,1,0.329053706
3400,5650,0,0,0,1,0,-0.899936067,1.521309647633358,0.2898502973608427,1,0,0,0,0,0,4,0,1,0,-1.679489648,0,0.053316202
1695,1525,0,0,0,1,0,0.5541110258963678,-0.711068901,-0.279462102,1,0,0,0,0,0,2,0,0,1,-0.648617593,0,1
1120,1770,0,0,1,0,0,0.2185616966660107,4.565462273321307,0.1274325570006584,1,0,0,0,0,0,2,1,1,0,1.8549288238410928,1,0.98626745
0,705,0,0,0,1,0,0.3304114730761298,-0.914012418,0.6673972726297179,1,0,0,0,0,0,1,1,0,1,-0.574983875,1,0.7485757
2430,2262,1,0,0,0,0,-0.228837409,-0.305181908,0.4886335461313594,1,0,0,0,0,0,2,0,0,1,-0.280449003,0,0.23136456
1615,1300,0,0,1,0,0,1.337059460767201,-0.50812542,0.033574117,1,0,0,0,0,0,1,0,0,1,-1.237687339,1,1
1500,2550,1,0,0,0,0,-0.452536962,-0.711068901,-0.071350692,1,0,0,0,0,0,3,0,0,1,0.4558881788674447,1,1
1740,900,0,0,0,1,0,0.6659608023064869,-0.305181908,1.4673117046283106,1,0,0,0,0,0,3,1,0,1,0.6767893333369681,1,0.468920975
3321,5119,0,1,0,0,0,-0.228837409,-0.711068901,0.6770628059681152,1,0,0,0,0,0,4,1,0,1,0.087719588,1,0.41874772
2965,1530,0,0,0,1,0,-0.116987633,-0.50812542,0.5824919860067227,1,0,0,0,0,0,3,0,0,1,0.9713242059629992,1,0.05930734
2490,4125,0,0,1,0,0,-0.061062744,-0.000766665,0.1849254884656876,1,0,0,0,0,0,3,1,0,0,0.1613533062414135,1,1
2087,1670,0,1,0,0,0,0.050787032,-0.000766665,0.013554595,1,0,0,0,0,0,1,0,0,1,-0.280449003,0,1.00000001
1660,1660,0,0,1,0,0,-0.061062744,-0.406653639,-0.432551681,1,0,0,0,0,0,2,1,1,0,1.1922253604325226,0,1
1978,2031,0,0,0,1,0,-0.396612074,-0.203710127,0.5461264775963887,1,0,0,0,0,0,2,0,1,0,0.1613533062414135,0,1
1645,3185,0,1,0,0,0,0.777810579,-0.50812542,0.1849254884656876,1,0,0,0,0,0,2,1,0,1,-1.090419902,0,0.40738833
1205,1260,1,0,0,0,0,-3.975804919,2.0286685014326897,1.0011859066024529,1,0,0,0,0,0,3,0,0,1,-0.501350157,1,0.91784847
1800,2120,0,0,1,0,0,-0.340687185,-0.50812542,1.106110715497608,1,0,0,0,0,0,2,1,0,1,1.044957924119507,1,0.34879765
1100,1820,0,0,0,1,0,3.070730995124046,3.4492730335746367,0.3837087372362044,1,0,0,0,0,0,2,1,0,1,-0.79588503,0,0.5334046
1543,1543,1,0,0,0,0,0.1067119202558917,-0.914012418,0.1274028621307381,1,0,0,0,0,0,2,0,1,0,1.044957924119507,1,1
1650,1620,0,0,1,0,0,0.2185616966660107,-0.914012418,0.6673972726297179,1,0,0,0,0,0,2,0,0,1,-1.458588493,1,0.7255071
1660,1150,0,0,1,0,0,0.1067119202558917,-0.50812542,0.4886335461313594,1,0,0,0,0,0,2,1,1,0,-0.133181566,1,0.735894354
1820,2140,1,0,0,0,0,-1.179560508,0.2021768961934379,0.097231995,1,0,0,0,0,0,2,0,0,1,0.4558881788674447,1,0.05782147
1229,1640,0,0,1,0,0,0.3304114730761298,-0.711068901,0.744909726,1,0,0,0,0,0,2,0,0,1,0.9713242059629992,1,0.37537911
1230,1150,1,0,0,0,0,-0.620311626,0.4051203581758842,-0.071350692,1,0,0,0,0,0,4,0,0,1,0.4558881788674447,1,0.999999974
2550,2550,1,0,0,0,0,0.2744865848710703,-0.812540662,-1.235000485,1,0,0,0,0,0,4,1,0,1,-0.206815285,1,0.4877837156239999
1325,3435,0,1,0,0,0,-0.676236515,-0.50812542,0.1708963599406317,1,0,0,0,0,0,2,0,1,0,0.1613533062414135,1,0.27719653
1540,1320,0,0,0,1,0,1.0574350197419036,-0.000766665,-0.233768432,1,0,0,0,0,0,1,1,0,1,-0.354082721,1,0.58735378
1195,1235,0,0,0,1,0,-0.899936067,-0.50812542,0.1566427558568455,1,0,0,0,0,0,1,1,1,0,1.1922253604325226,1,0.99999998
1740,2450,0,0,1,0,0,-0.061062744,-0.406653639,0.744909726,1,0,0,0,0,0,3,1,0,1,-1.237687339,1,0.48582318
2080,2150,0,1,0,0,0,-0.396612074,-0.609597151,0.5824919860067227,1,0,0,0,0,0,2,1,0,1,0.087719588,1,0.6604505
1550,2840,0,0,1,0,0,1.672608789997558,-0.711068901,0.5824919860067227,1,0,0,0,0,0,2,0,0,1,0.9713242059629992,1,0.68610195
2229,1800,1,0,0,0,0,-0.620311626,2.0286685014326897,0.2647547998159933,1,0,0,0,0,0,2,1,0,1,2.6648997235626783,1,0.81124759
2365,2320,1,0,0,0,0,0.7218856905115464,-0.609597151,-0.034985183,1,0,0,0,0,0,2,1,0,1,2.075829978310616,1,1.00000002
1970,1970,1,0,0,0,0,-0.061062744,-0.406653639,-0.071350692,1,0,0,0,0,0,3,1,1,0,-2.121291957,1,0.21582733
3615,3615,0,1,0,0,0,1.0574350197419036,-0.000766665,1.0011859066024529,1,0,0,0,0,0,5,0,0,1,-0.648617593,1,1
3750,3846,0,1,0,0,0,-0.50846185,0.4051203581758842,0.4686140238591996,1,0,0,0,0,0,7,0,1,0,-0.943152466,0,0.523906418
1294,1263,0,0,0,1,0,0.050787032,-0.000766665,-2.902460358,1,0,0,0,0,0,1,1,0,1,-0.059547848,1,0.8468885909999999
1065,949,0,1,0,0,0,0.4422612494862488,4.971348998442984,0.5082130430796278,1,0,0,0,0,0,2,0,0,1,-0.869518748,0,1
400,500,0,1,0,0,0,1.1692847961520223,0.2021768961934379,0.1274325570006584,1,0,0,0,0,0,2,1,1,0,-0.280449003,0,0.7890136999999999
1417,925,0,1,0,0,0,0.6100359141014274,-0.609597151,0.097231995,1,0,0,0,0,0,1,1,0,1,0.087719588,1,1
3165,2290,0,0,0,1,0,-0.396612074,-0.406653639,0.6510512864915438,1,0,0,0,0,0,3,0,0,1,-0.427716439,1,0.5307681200000001
1249,1294,0,0,0,1,0,0.5541110258963678,-0.711068901,0.3611548426995956,1,0,0,0,0,0,3,0,1,0,-0.206815285,1,0.48013938
1505,1351,0,0,1,0,0,-0.955860956,-0.406653639,0.033574117,1,0,0,0,0,0,3,0,0,1,0.8976904878064914,1,1
4486,2862,0,0,0,1,0,0.5541110258963678,-0.305181908,0.5824919860067227,1,0,0,0,0,0,4,0,1,0,-0.943152466,1,0.67866397
2621,1611,1,0,0,0,0,-1.235485397,-0.102238396,0.2898502973608427,1,0,0,0,0,0,2,1,0,0,1.2658590785890305,1,0.72507465
2180,3680,0,0,0,1,0,-0.620311626,1.0139509429664386,0.8822319691822419,1,0,0,0,0,0,5,1,0,1,0.6031556151804603,1,0.528386046
1580,1375,0,1,0,0,0,-1.347335173,2.3330837938279663,0.1274325570006584,1,0,0,0,0,0,3,0,1,0,0.1613533062414135,1,1
2055,2055,1,0,0,0,0,0.6100359141014274,-0.609597151,0.8822319691822419,1,0,0,0,0,0,3,1,0,1,-0.574983875,1,0.8537607300000001
590,1490,1,0,0,0,0,-1.12363562,1.1154227733792694,0.744909726,1,0,0,0,0,0,2,0,1,0,0.3822544607109369,1,0.118859519
